,Rnd,Player,Age,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,receptions,routes,targeted_qb_rating,targets,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,Rookie year,"1,000 Yard Seasons"
73,6.0,Quez Watkins,22.0,2020,9.2,1.0,58.3,61.1,43.0,7.0,80.0,115.3,12.0,106.0,57.0,8.1,15.1,1.33,8.833333333333334,2020,0
74,6.0,Freddie Swain,22.0,2020,12.6,0.0,68.4,53.4,23.0,13.0,223.0,129.1,19.0,159.0,101.0,7.8,12.2,0.71,8.368421052631579,2020,0
75,7.0,K.J. Hill,22.0,2020,6.8,0.0,63.6,55.0,25.0,7.0,93.0,82.8,11.0,73.0,22.0,3.1,10.4,0.78,6.636363636363637,2020,0
76,7.0,Tyrie Cleveland,22.0,2020,8.8,1.0,75.0,76.2,17.0,6.0,31.0,97.4,8.0,63.0,21.0,3.5,10.5,2.03,7.875,2020,0
77,1.0,Marquise Brown,22.0,2019,11.8,8.0,70.8,70.8,83.0,46.0,322.0,134.4,65.0,584.0,234.0,5.1,12.7,1.81,8.984615384615385,2019,1
78,1.0,N'Keal Harry,21.0,2019,10.0,4.0,52.2,66.6,18.0,12.0,126.0,75.5,23.0,105.0,45.0,3.8,8.8,0.83,4.565217391304348,2019,0
79,2.0,Deebo Samuel,23.0,2019,7.6,18.0,74.0,74.5,42.0,57.0,393.0,120.2,77.0,802.0,484.0,8.5,14.1,2.04,10.415584415584416,2019,1
80,2.0,A.J. Brown,22.0,2019,13.6,16.0,61.9,84.0,91.0,52.0,393.0,127.6,84.0,1051.0,462.0,8.9,20.2,2.67,12.511904761904763,2019,4
81,2.0,Parris Campbell,22.0,2019,8.1,5.0,78.3,54.7,27.0,18.0,119.0,104.2,23.0,127.0,109.0,6.1,7.1,1.07,5.521739130434782,2019,0
82,2.0,Andy Isabella,22.0,2019,6.9,3.0,69.2,64.2,88.0,9.0,96.0,137.5,13.0,189.0,140.0,15.6,21.0,1.97,14.538461538461538,2019,0
